status	best_score	local_basename	best_drive_name	best_has_document_xml	local_path
unmatched	0	(F)_Chapter:_1_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(F)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(Final) Chapter: 7 - The Pit.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final) Chapter: 7 - The Pit.txt
unmatched	0	(Final)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(Final)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(Final)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(Final)_Chapter_3-_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_3-_Lift_Up.txt
unmatched	0	(Final)_Chapter_3:_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Final)_Chapter_3:_Lift_Up.txt
unmatched	0	(G)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Chapter_1:_Stardust_to_Stardust.txt
weak_review	67	(G)_Final_)_Chapter:_10_-_Forsaken.txt	Chapter 10.5	true	src/data-layer/ingestion-buffer/gdrive_raw/(G)_Final_)_Chapter:_10_-_Forsaken.txt
unmatched	0	(I)_(Notes)_Chapter:_1_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(I)_(Notes)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(I)_Chapter:_1_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(I)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	(N)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(N)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(N)_CHAPTER_1-_STARDUST_TO_STARDUST.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(N)_CHAPTER_1-_STARDUST_TO_STARDUST.txt
unmatched	0	(Notes)_Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Notes)_Chapter_2-_Living_Sacrifice.txt
unmatched	0	(Notes)_Chapter_2:_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Notes)_Chapter_2:_Living_Sacrifice.txt
unmatched	0	(O)_Chapter_1-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(O)_Chapter_1-_Stardust_to_Stardust.txt
weak_review	67	(Revision_Prompt_(D))_Chapter_10:_Forsaken.txt	Chapter 10.5	true	src/data-layer/ingestion-buffer/gdrive_raw/(Revision_Prompt_(D))_Chapter_10:_Forsaken.txt
unmatched	0	(Revision_Prompt_(N)__Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Revision_Prompt_(N)__Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(Revisions)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Revisions)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(SDP)_v2.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(SDP)_v2.txt
unmatched	0	(X)_Chapter_1__Stardust_to_Stardust_(1).txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(1).txt
unmatched	0	(X)_Chapter_1__Stardust_to_Stardust_(2).txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1__Stardust_to_Stardust_(2).txt
unmatched	0	(X)_Chapter_1_-_Stardust_to_Stardust.docx.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.docx.txt
unmatched	0	(X)_Chapter_1_-_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1_-_Stardust_to_Stardust.txt
unmatched	0	(X)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(X)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	(Z)_Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/(Z)_Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	*Chapter_1:_Stardust_to_Stardust.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_1:_Stardust_to_Stardust.txt
unmatched	0	*Chapter_2-_Living_Sacrifice.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_2-_Living_Sacrifice.txt
unmatched	0	*Chapter_3:_Lift_Up.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_3:_Lift_Up.txt
unmatched	0	*Chapter_4:_Pilgrimage.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_4:_Pilgrimage.txt
unmatched	0	*Chapter_7:_The_Pit.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_7:_The_Pit.txt
unmatched	0	*Chapter_8:_Sea_People.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_8:_Sea_People.txt
unmatched	0	*Chapter_9:_The_Ascent.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/*Chapter_9:_The_Ascent.txt
unmatched	0	•(G)_Chapter:_1_Stardust_to_Stardust_.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/•(G)_Chapter:_1_Stardust_to_Stardust_.txt
unmatched	0	1.0_Revision.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/1.0_Revision.txt
unmatched	0	10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt		false	src/data-layer/ingestion-buffer/gdrive_raw/10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt
unmatched	0	12.0_Perfection.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/12.0_Perfection.txt
unmatched	0	13.0_Claude.txt		false	src/data-layer/ingestion-buffer/gdrive_raw/13.0_Claude.txt
weak_review	68	2.0_Critique_／_Analysis_Guide.txt	2.0 Critique / Analysis Guide	true	src/data-layer/ingestion-buffer/gdrive_raw/2.0_Critique_／_Analysis_Guide.txt
